session,eta_nom,acad_lib,acad_reg_lib,mention,parcours,alternance,modalite_enseignement,lieux_formation,disci_master,disci_lib,secteur_disci_lib,n_accept,n_accept_femme,uo_lib_actuel,diploma_needed
2023,Université Paris Cité,Paris,Île-de-France,physique fondamentale et applications,"Ingenierie Physique des Energies -  (master, sciences, physique)",False,"INITIALE,CONTINUE,HYBRIDE","UFR Physique – Campus Grands Moulins - PARIS (75),Université Paris Cité - PARIS (75),UFR Physique - PARIS (75)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Physique,1,0,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,physique fondamentale et applications,"Physique fondamentale -  (master, sciences, physique)",False,"INITIALE,HYBRIDE","UFR Physique – Campus Grands Moulins - PARIS (75),UFR Physique - PARIS (75),Université Paris Cité - PARIS (75)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Physique,34,14,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,genetique,Unknown,False,"INITIALE,CONTINUE,HYBRIDE","UFR SDV - PARIS (75),Université Paris Cité - PARIS (75)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),"Sciences de la vie, de la terre et de l'univers","Sciences de la vie, biologie, santé",40,27,Université Paris Cité,Autre
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1 Droit Social et Relations Sociales dans les Entreprises (formation initiale) : M2 Droit Social et Relations Sociales dans les Entreprises (formation en apprentissage),False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,17,16,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1  Droit Privé Général : M2 Immobilier,False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,21,19,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1  Droit Privé Général : M2 Contentieux des droits et libertés fondamentaux,False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,7,6,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1 Droit Public Interne et Européen et International :  M2 Contentieux des droits et libertés fondamentaux,False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,6,6,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1 Droit Public Interne et Européen et International : M2 Droits des libertés et droits fondamentaux dans les collectivités et entreprises,False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,6,3,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Sorbonne Paris Nord,Créteil,Île-de-France,droit,M1 Droit Public Interne et Européen et International :  M2 Droit public général (recherche-carrieres-publiques),False,"INITIALE,HYBRIDE","Université Sorbonne Paris Nord - VILLETANEUSE (93),Université Sorbonne Paris Nord   - VILLETANEUSE (93)",Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,17,12,Université Sorbonne Paris Nord,Gestion et Management
2023,Université Paris Cité,Paris,Île-de-France,biologie integrative et physiologie,"Sciences du Végétal (master, santé, sciences)",False,"INITIALE,CONTINUE,HYBRIDE","Campus Grands Moulins - PARIS (75),Université Paris Cité - PARIS (75)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),"Sciences de la vie, de la terre et de l'univers","Sciences de la vie, biologie, santé",6,4,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,"sciences de la terre et des planetes, environnement","Génie de l'environnement et industrie - (master, sciences, terre, planète)",True,"CONTRAT_PRO,CONTINUE","IPGP  - PARIS (75),Université Paris Cité - PARIS (75)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),"Sciences de la vie, de la terre et de l'univers","Sciences de l'univers, de la Terre, de l'espace, de la mer",0,0,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,langues etrangeres appliquees,"Langues, Interprétations et Stratégie Interculturelle - (master, LEA, langues)",False,"INITIALE,CONTINUE,HYBRIDE","UFR EILA – Campus Grands Moulins - PARIS (75),Université Paris Cité - PARIS (75)","Lettres, langues, art",Langues,Langues étrangères appliquées,14,10,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,langues etrangeres appliquees,"Langues, Culture et Innovations numériques - (master, LEA, langues)",False,"INITIALE,CONTINUE,HYBRIDE","UFR EILA – Campus Grands Moulins - PARIS (75),Université Paris Cité - PARIS (75)","Lettres, langues, art",Langues,Langues étrangères appliquées,13,8,Université Paris Cité,Autre
2023,Université Paris Cité,Paris,Île-de-France,sciences du langage,"Signes, discours, société - (master, langage)",False,"INITIALE,HYBRIDE","Faculté des Sciences Humaines et Sociales - PARIS (75),Université Paris Cité - PARIS (75)","Lettres, langues, art","Lettres, sciences du langage, arts","Sciences du langage, linguistique",9,8,Université Paris Cité,Sciences Sociales et Humanités
2023,Université Paris Cité,Paris,Île-de-France,sciences sociales,"Anthropologie et éthnologie - (master, social, humaine)",False,"INITIALE,CONTINUE,HYBRIDE","Faculté des Sciences Humaines et Sociales - PARIS (75), Université de Paris - Campus Saint-Germain-des-Prés - PARIS (75),Université Paris Cité - PARIS (75)",S.H.S.,Sciences humaines et sociales,Pluridisciplinaire sciences humaines et sociales,19,13,Université Paris Cité,Sciences Sociales et Humanités
2023,Université Paris Cité,Paris,Île-de-France,"metiers des etudes, du conseil et de l'intervention (meci)","Consultants et chargés d’études socio-économiques (master, économie)",False,"INITIALE,CONTINUE,HYBRIDE","UFR GHES – Campus Grands Moulins - PARIS (75),Université Paris Cité - PARIS (75)",S.H.S.,Sciences humaines et sociales,Pluridisciplinaire sciences humaines et sociales,15,7,Université Paris Cité,Autre
2023,Université Paris-Panthéon-Assas,Paris,Île-de-France,droit public,Histoire du droit-droit public,False,"INITIALE,HYBRIDE",Université Paris-Panthéon-Assas - PARIS (75),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,10,4,Université Paris-Panthéon-Assas,Autre
