id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,dureeTravailLibelle,dureeTravailLibelleConverti,qualificationCode,qualificationLibelle,codeNAF,secteurActivite,secteurActiviteLibelle,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,salaire.libelle,contact.coordonnees1,origineOffre.origine,origineOffre.urlOrigine,salaire.complement1,salaire.complement2,deplacementCode,contact.nom,salaire_per_year,Contrat,city_name,matched_acad,diploma_needed
179WDKP,Façadier / Enduiseur (H/F),"En activité depuis une vingtaine d'année, notre client est spécialisée dans la rénovation des maisons (carrelage, maçonnerie, façades...). 
Implantée près de Châtellerault, le client intervient sur tout le département de la vienne.

Sous la responsabilité du chef d'équipe, vos missions seront :
- Effectuer le diagnostique du mur
- Préparation des façades
- Mise en place des isolation
- Mettre en oeuvre des enduits 
- Rangement et nettoyage du chantier

Le poste est à pourvoir dès que possible, en intérim, près de Châtellerault.

Votre rémunération sera calculée selon votre expérience.

Vous travaillerez sur des horaires de journée.

Contrat d'une semaine renouvelable. Vous avez déjà de l'expérience en tant que façadier.

Vous aimez le travail d'équipe.

Vous êtes une personne minutieuse, rigoureuse et organisée.

n'hésitez plus et postulez !

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:57:33.476Z,2024-08-23T04:57:33.698Z,F1611,Façadier / Façadière,Façadier-enduiseur / Façadière-enduiseuse,MIS,Intérim - 1 Mois,Contrat travail,E,1,35H,Temps plein,3.0,"Ouvrier qualifié (P1,P2)",78.20Z,78.0,Activités des agences de travail temporaire,86 - Ormes,46.963733,0.625443,86220,86183,PARTNAIRE NOUVELLE AQUITAINE NORD,Horaire de 11.65 Euros à 13.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=i1WeMLIBIcMS3TRJ0vS3Uw==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKP,0,0,0.0,0,24232.0,Intérim,Ormes,,Santé et Médecine
179WDKN,CANALISATEUR (H/F),"Votre agence Partnaire Avignon, avec son équipe dynamique et souriante, a le poste qu'il vous faut ! Nous sommes à votre écoute au quotidien et nous vous assurons des propositions de postes ciblés. Rejoignez-nous et comme nous, soyez fier d'être Partnaire !


Nous recherchons pour notre client spécialisé dans les travaux publics et gros oeuvre basé sur le Thor un poseur de canalisation (H/F) avec expérience.

Sous la responsabilité de votre chef d'équipe vous serez en charge de l'installation et de la maintenance du réseau de distribution d'eau potable et d'évacuation des eaux usées. Vous travaillez en équipe sur chantier.

Vos missions sont : La pose, Les raccordements, Les branchements aux appareils publics des canalisations et de l'ensemble du réseau.

Vous travaillez du lundi au vendredi avec une prise de poste à 7h en départ de l'entreprise. 
Vous serez amené à vous déplacer sur différents chantiers.
Vous bénéficiez d'un taux horaire de 12EUR à 12.50EUR brut / heure ainsi que des paniers repas et trajets/transport.

Vous maîtrisez les raccordements sur de grosses sections, la soudure sur plastique, la pose de vannes sur des réseaux en charge. Vous possédez un diplôme ou une expérience relative à la pose de canalisation depuis au moins 2 ans. Vous êtes autonome et rigoureux.

Mes avantages :

- Une mutuelle santé
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:57:23.593Z,2024-08-23T04:57:23.799Z,F1705,Canalisateur / Canalisatrice,Poseur / Poseuse de canalisations,MIS,Intérim - 2 Mois,Contrat travail,E,2,35H,Temps plein,3.0,"Ouvrier qualifié (P1,P2)",78.20Z,78.0,Activités des agences de travail temporaire,84 - Thor,43.921969,4.995674,84250,84132,PARTNAIRE,Horaire de 12.0 Euros à 12.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=986PPWSPe+P4QGzJwAruTw==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKN,0,0,0.0,0,24960.0,Intérim,Thor,,Ingénierie et Technologie
179WDKM,Chef de partie LE/M,"Aquila Rh Cannes, acteur du recrutement en CDD , CDI recherche pour l'un de ses clients, un chef de partie expérimenté H/F.

L'agence Aquila RH est une entreprise avec plus de 10 ans d'expérience qui accompagne chacun de ses candidats tout au long du processus de recrutement et au cours de leur mission avec une attention toute particulière !

Notre but ? Vous construire vos projets de demain !

Vous devrez avoir obligatoirement une expérience dans la cuisine étoilée pour occuper ce poste.

Notre client est un établissement renommé su bassin cannois , il cherche a complété son équipe durant la saison estivale.


Vos missions:
- Coordonner la préparation des plats avec l'équipe de cuisine.
- Assister le chef de cuisine dans l'élaboration des menus.
- Superviser la préparation et la cuisson des plats.
- Assurer la qualité et la présentation des plats servis.
- Contrôler les stocks de nourriture et les commandes de fournitures.
- Veiller au respect des règles d'hygiène et de sécurité alimentaire.

Horaires :
- Poste en continu, avec horaires susceptibles de changer en cas d'accroissement d'activité.
- Travail les week-ends et jours fériés.

Horaires de travail :
- 15h00 à 23h00
- 16h00 à 00h00

Avantages :
- Indemnités de fin de mission (IFM) de 10%.
- Indemnités de congés payés (ICP) de 10%.
- Possibilité d'adhérer à une mutuelle.
- Avantages du comité d'entreprise (réductions pour les cinémas, parcs d'attractions, etc.).
- Acompte à la semaine.
- Accès à un espace intérimaire en ligne. Votre profil:
Niveau CAP/BEP


",2024-08-23T04:57:20.471Z,2024-08-23T04:57:20.733Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Opérateur / Opératrice d'abatteuse,MIS,Intérim - 3 Mois,Contrat travail,D,0,35H,Temps plein,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,06 - Cannes,43.555468,7.004585,6150,6029,L.A.B.EILLE,Mensuel de 2900.0 Euros à 3300.0 Euros sur 12.0 mois,http://app.mytalentplug.com/redirection.aspx?ojid=QLy8WoyjPx3rOFh7JQ7aJA==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKM,0,0,0.0,0,34800.0,Intérim,Cannes,,Autre
179WDKL,Ouvrier / Ouvrière d'abattoir (H/F),"Réceptionner et enregistrer les animaux, procéder à l'assommage et à l'ensemble des opérations d'abattage dans le respect des règles de protection animale. Procéder au nettoyage de la zone d'abattage et à la livraison des carcasses.",2024-08-23T04:51:21.653Z,2024-08-23T04:51:22.097Z,H2101,Ouvrier / Ouvrière d'abattoir,Ouvrier / Ouvrière d'abattoir,CDD,CDD - 4 Mois,Contrat travail,D,0,35H,Temps plein,5.0,Employé non qualifié,10.11Z,10.0,Transformation et conservation de la viande de boucherie,973 - REMIRE MONTJOLY,4.892346,-52.278099,97354,97309,ABATTOIR TERRITORIAL,Mensuel de 1800.0 Euros à 1900.0 Euros sur 12.0 mois,0,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKL,Primes,Chèque repas,0.0,0,21600.0,CDD,REMIRE MONTJOLY,,Autre
179WDKH,Bancheur coffreur (H/F),"Votre agence Partnaire Orange, avec son équipe dynamique et souriante, a le poste qu'il vous faut ! Nous sommes à votre écoute au quotidien et nous vous assurons des propositions de postes ciblés. Rejoignez-nous et comme nous, soyez fier d'être Partnaire !

Nous recherchons pour notre client spécialisé dans gros oeuvre, travaux tous corps d'états, agencement, couverture, étanchéité, charpente bois, électricité, CVC, montage et promotion immobilière, traitement et valorisation des déchets basé sur Orange, un coffreur / bancheur (H/F).

Sous la responsabilité de votre chef d'équipe, vous effectuez l'ossature en béton armé de bâtiments en utilisant des coffrages métalliques préfabriqués appelés aussi banches afin d'y couler le béton.

Vous travaillez du lundi au vendredi sur une base de travail de 35h à 39h.

Vous avez un CAP constructeur en béton armé du bâtiment ou un BEP Réalisations du gros oeuvre et vous disposez d'au moins 1 an d'expérience sur le même type de poste.

Contrat d'intérim pour une durée de 3 mois.

Vous bénéficiez d'un taux horaire entre 11.65EUR et 12.00EUR selon votre expérience. Vous avez un CAP constructeur en béton armé du bâtiment ou un BEP Réalisations du gros oeuvre et vous disposez d'au moins 1 an d'expérience sur le même type de poste.

Grâce à votre agence Partnaire, vous bénéficiez d'un club entreprise, d'un compte épargne temps rémunéré à 5%, de plusieurs avantages sociaux avec le FASTT (location de voiture, logement, garde d'enfants) et d'une équipe à votre écoute du lundi au vendredi de 08h00 à 12h00 et de 14h00 à 18h00.

Ce poste vous correspond et vous plait ? Postulez dès maintenant et venez raconter votre parcours afin de commencer une belle aventure professionnelle avec votre agence Partnaire Orange

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:47:37.469Z,2024-08-23T04:47:37.726Z,F1701,Coffreur / Coffreuse,Coffreur bancheur / Coffreuse bancheuse,MIS,Intérim - 3 Mois,Contrat travail,E,1,35H,Temps plein,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,84 - Orange,44.132797,4.820804,84100,84087,PARTENAIRE ORANGE,Annuel de 21204.0 Euros à 22000.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=bCK1Dccrgj4L4cpL11PX1g==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKH,0,0,0.0,0,21204.0,Intérim,Orange,,Santé et Médecine
179WDKG,Assistant manager (H/F),"Votre agence Partnaire Bron recrute  un adjoint du dirigeant de proximité H/F ; pour l'un de ses clients spécialisé dans le milieu ferroviaire, et situé à Vénissieux (69). 

Intégrez une équipe dédiée à l'excellence technique et jouez un rôle clé dans la fiabilité des services de transport !

Dans une équipe spécialisée dans le secteur mécanique, vous interviendrez sur des missions d'adjoint du directeur, le tout dans le cadre d'un remplacement. 

Sous sa responsabilité, vous aurez la responsabilité des collaborateurs de votre équipe, que ce soit du point de vue de la sécurité ou de la logistique globale.
En détails, vos missions seront les suivantes :

-Suivre et planifier la production

-S'assurer de la conformité de la traçabilité

-Assurer les tâches de gestion du personnel 

-Gérer les approvisionnements

-S'assurer des règles de sécurité et du port des EPIs de vos collaborateurs 

Poste à pourvoir dès maintenant jusqu'à début septembre, en horaires de journée. 

Si vous êtes passionné(e) par ce domaine et souhaitez rejoindre une équipe dynamique, nous serions ravis de recevoir votre candidature. Postulez dès maintenant et participez à notre aventure ! Profil recherché :

-Vous êtes titulaire d'un BAC + 2 / 3 en électrotechnique, ou MSMA Manager de proximité ? 

-Vous avez des compétences et connaissances en mécanique ?

Alors ce poste est fait pour vous ! 

Tous nos postes sont ouverts aux personnes en situation de handicap !

Mes avantages :
-Tickets restaurant

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:47:33.592Z,2024-08-23T04:47:33.820Z,I1304,Technicien / Technicienne de maintenance industrielle,Technicien / Technicienne de matériel ferroviaire,MIS,Intérim - 1 Mois,Contrat travail,E,1,35H,Temps plein,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,69 - Vénissieux,45.707095,4.881379,69200,69259,PARTNAIRE,Horaire de 14.0 Euros à 16.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=tcL1HEk909Yz5+h7NR80vQ==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKG,0,0,0.0,0,29120.0,Intérim,Vénissieux,,Ingénierie et Technologie
179WDKF,Assistant rh (H/F),"Votre agence Partnaire IPC du 9e arrondissement de Paris, grâce à son équipe d'experts en Ressources Humaines et particulièrement dans le domaine « Tertiaire / Industrie Pharmaceutique et Cosmétique », vous assure des propositions de postes ciblés et un suivi personnalisé.

Notre client, spécialisée dans le secteur d'activité du commerce de combustibles gazeux par conduites, recrute un Assistant RH H/F.

Vos missions seront : 


- Suivi des contrats / Avenants / Fins de contrats, réalisation des reportings hebdomadaires, 

- Gestion des relevés d'heures, suivi des salariés...

- Veiller au respect des règles de sécurité de la part des équipes 

- Récolter, contrôler et transmettre les indicateurs de suivi des activités 

- Participer au traitement des besoins de recrutement et de formation du site 

- Récolter, contrôler et vérifier les éléments variables de paie, les absences et les demandes des salariés sur les logiciels informatiques

- Construire et suivre les indicateurs de suivi, identifier les écarts et proposer des pistes d'amélioration



Amplitude 8H30 à 18h00 avec 45 minutes pause déjeuner -39H avec RTT Vous avez de  l'expérience dans un service RH Généraliste, vous êtes sérieux, et motivé, avec un bon esprit d'équipe, Alors ce poste est fait pour vous ! 

Si vous êtes prêt(e) à relever ce défi et à contribuer à notre succès, nous attendons avec impatience de recevoir votre candidature.

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:47:32.844Z,2024-08-23T04:47:33.091Z,M1501,Assistant / Assistante ressources humaines,Assistant / Assistante ressources humaines,MIS,Intérim - 3 Mois,Contrat travail,E,7,39H,Temps plein,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,93 - Stains,48.958217,2.382433,93240,93072,PARTNAIRE,Horaire de 20.0 Euros à 20.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=WLodzy1czkKO9D+ggj27vA==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKF,0,0,0.0,0,41600.0,Intérim,Stains,,Gestion et Management
179WDKD,Pontier (H/F),"Notre client, est le 2e producteur de papier en Europe, basé sur le secteur de FROUARD (54390) il recherche un Pontier-Mandrineur (H/F) afin de développer sa productivité.

Votre mission est d'être un des piliers de la production. 

Vous êtes en charge de conduire la machine et de s'assurer de son bon fonctionnement. Pour cela, vous devez être capable d'effectuer de la maintenance de premier niveau (graissage, serrage, encollage...) et si besoin, de remplacer des consommables. 

Vous devez également aider le machiniste sur son poste, ainsi que d'effectuer le réapprovisionnement à l'aide de votre pont roulant. 

Pour finir, vous êtes en charge également du nettoyage de votre machine, mais également de votre poste et du matériel utilisé. 

Le poste à pourvoir est en 5x8. Vous l'aurez compris, vous serez donc un véritable couteau suisse ! 

Pour cela, vous devez avoir une expérience dans le milieu industriel, notamment sur des lignes automatisées. Il faut également avoir des connaissances en mécanique basique afin d'effectuer le remplacement des pièces. 

Il faut également être détenteur du CACES Pont roulant. 

Alors si vous cochez toutes ces cases ou une grande partie (pas de crainte, une formation en interne vous sera faite) ! 
N'hésitez pas à postuler ! 

A très vite chez Partnaire !

Mes avantages :

- Taux horaire en fonction du profil
- Prime assiduité 
- Prime 13e mois 
- Prime 5x8 

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:47:27.723Z,2024-08-23T04:47:27.987Z,N1104,Pontier / Pontière,Pontier / Pontière,MIS,Intérim - 1 Mois,Contrat travail,E,1,35H,Temps plein,3.0,"Ouvrier qualifié (P1,P2)",78.20Z,78.0,Activités des agences de travail temporaire,54 - Frouard,48.758748,6.125786,54390,54215,PARTNAIRE,Horaire de 11.65 Euros à 12.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=4A4JVaGQ6Fc9FplW0Bia2Q==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKD,0,0,0.0,0,24232.0,Intérim,Frouard,,Ingénierie et Technologie
179WDKB,Serveur de restaurant,"Aquila RH Nice, acteur du recrutement en CDD recherche pour un des ses clients un Serveur H/F.

Michaël, consultant en recrutement, est à votre écoute pour échanger sur votre parcours et vos attentes afin de vous proposer les meilleures opportunités.

Nous sommes actuellement en recherche d'un serveur pour un établissement situé sur le secteur de Péone (Poste logé).

Possibilité de poste sur plusieurs mois si vous êtes motivés et investis.


Vos missions:
- Accueil de la clientèle du restaurant
- Mise en place des consoles du restaurant
- Respect des normes d'hygiène et de sécurité
- Présentation des menus à la clientèle
- Effectuer le service des plats chauds

Les horaires :
Travaille le week-end et jours fériés

09h00 a 17h00
ou
15h00 a 23h00

Avantages :

- Panier repas selon la convention collective de l'hôtellerie restauration.
- Adhésion Mutuelle
- Logement sur place. Votre profil:
Expérience exigé sur un poste similaire.


",2024-08-23T04:47:23.817Z,2024-08-23T04:47:24.026Z,G1803,Serveur / Serveuse,Serveur / Serveuse de restaurant,MIS,Intérim - 3 Mois,Contrat travail,D,0,35H,Temps plein,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,06 - Péone,44.100435,6.93811,6470,6094,LABBA- Aquila RH intérim,Mensuel de 2000.0 Euros à 2000.0 Euros sur 12.0 mois,http://app.mytalentplug.com/redirection.aspx?ojid=kud5Tehbx3KkjzPJcCPywQ==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDKB,0,0,0.0,0,24000.0,Intérim,Péone,,Autre
179WDJW,Chaudronnier soudeur (H/F),"Vous travaillerez pour un groupe français familial présent sur trois domaines d'activités : constructeur d'avions, équipements & systèmes aéronautiques et logistique & services.

Vous aurez comme mission :
Les missions :

Préparation et fabrication des pièces métalliques
Vérification de la conformité des pièces
Réalisation des structures métalliques à partir des plans
Réalisation des pièces primaires de chaudronnerie
Montage des sous-ensembles dans le respect des exigences qualités
Contrôler la qualité du produit fini
Découpage des éléments : laser, plasma
Marquage et positionner les pièces

T.H. 12 12.50 EUR selon profil 
Poste basé à Montrichard 
Mission longue durée : + de 3 mois - Temps complet 
Horaires journée Vous avez un CAP Chaudronnerie. 

Vous possédez une bonne expérience sur un poste similaire. 

Ce poste est pour vous !

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-23T04:46:57.156Z,2024-08-23T04:46:57.359Z,H2902,Chaudronnier / Chaudronnière,Chaudronnier / Chaudronnière,MIS,Intérim - 3 Mois,Contrat travail,E,2,35H,Temps plein,2.0,Ouvrier spécialisé,78.20Z,78.0,Activités des agences de travail temporaire,41 - Montrichard Val de Cher,47.346629,1.205845,41400,41151,PARTNAIRE,Horaire de 12.0 Euros à 12.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=qCZS3Hgh0f63oPPzFRYPyA==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179WDJW,0,0,0.0,0,24960.0,Intérim,Montrichard Val de Cher,,Gestion et Management
