id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,accessibleTH,qualificationCode,qualificationLibelle,codeNAF,secteurActivite,secteurActiviteLibelle,offresManqueCandidats,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.entrepriseAdaptee,salaire.libelle,contact.coordonnees1,contact.urlPostulation,origineOffre.origine,origineOffre.urlOrigine,competences,qualitesProfessionnelles,salaire.complement1,salaire.complement2,contact.nom,contact.courriel,salaire.commentaire,langues,deplacementLibelle,permis,formations,deplacementCode,contact.coordonnees2,contact.coordonnees3,experienceCommentaire,nombrePostes,filtre,agregation
179XXPP,Préparateur de commandes (H/F),"Votre agence Partnaire de Lens, grâce à son équipe d'experts en ressources humaines et particulièrement dans le domaine de la ""logistique/industrie/tertiaire"" vous assure des propositions de poste ciblé et un suivi personnalisé.

Nous recherchons des Préparateur de commandes (H/F) pour notre client, basé à Evin Malmaison, spécialisé dans le domaine de la logistique. 
Fort de plus de 40 ans d'expérience, notre client met son expertise au service des entreprises issues des différents secteurs d'activités.

Vos missions seront les suivantes: 

-Préparation des commandes avec Caces 1
-Utilisation du Pad ou de la vocale
-Constitution de palettes
-Filmage de palettes
-Contrôle quantitatif et qualitatif
-Veiller à la propreté de l'entrepôt (tri sélectif)
-Veiller à la propreté de votre poste de travail
-Respecter les règles et consignes de sécurité

Type de contrat: Intérim 
Horaires: 3*8
Taux horaires: 11.65EUR
Lieu de mission : Evin Malmaison Vous avez une première expérience significative sur de la préparation de commandes, et vous avez le Caces 1?

Vous êtes :

Organisé, précis et rigoureux
Polyvalent, vous savez vous adapter à différentes missions
Réactif et dynamique
Autonome
La sécurité au travail est votre priorité ! 

N'hésitez pas, chez Partnaire nous recherchons avant tout des compétences et un savoir être.
Rejoignez nous !

Vous n'êtes qu'à un clic de votre futur job !

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-25T03:39:24.736Z,2024-08-25T03:39:24.964Z,N1103,Préparateur / Préparatrice de commandes,Préparateur / Préparatrice de commandes,MIS,Intérim - 18 Mois,Contrat travail,E,2 An(s),35H,Temps plein,0.0,0.0,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,0.0,62 - Évin-Malmaison,50.435769,3.03591,62141.0,62321.0,PARTNAIRE,0.0,Horaire de 11.65 Euros à 11.65 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=w+1mmz9ugSy1IV3G5ucU9Q==,http://app.mytalentplug.com/description-offre.aspx?ojid=w+1mmz9ugSy1IV3G5ucU9Q==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPP,,,,,,,,,,,,,,,,,,
179XXPN,Manutentionnaire (H/F),"Votre agence Partnaire de Lens, grâce à son équipe d'experts en ressources humaines et particulièrement dans le domaine de la ""logistique/industrie/tertiaire"" vous assure des propositions de poste ciblé et un suivi personnalisé.

Nous recherchons des manutentionnaires (H/F) pour notre client, basé à Evin Malmaison, spécialisé dans le domaine de la logistique. 
Fort de plus de 40 ans d'expérience, notre client met son expertise au service des entreprises issues des différents secteurs d'activités.

Vos missions seront les suivantes: 

-Déchargement de camion à la main
-Travail en équipe
-Constitution de palettes
-Filmage de palettes
-Cerclage de palettes
-Veiller à la propreté de l'entrepôt (tri sélectif)
-Veiller à la propreté de votre poste de travail
-Respecter les règles et consignes de sécurité

Type de contrat: Intérim 
Horaires: 3*8 ou jour
Taux horaires: 11.65EUR
Lieu de mission : Evin-Malmaison Organisé, précis et rigoureux
Polyvalent, vous savez vous adapter à différentes missions
Réactif et dynamique

Une première expérience est souhaitée dans ce domaine


La sécurité au travail est votre priorité ! 

N'hésitez pas, chez Partnaire nous recherchons avant tout des compétences et un savoir être.
Rejoignez nous !

Vous n'êtes qu'à un clic de votre futur job !

Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-25T03:39:21.567Z,2024-08-25T03:39:21.833Z,N1105,Manutentionnaire,Déchargeur / Déchargeuse manutentionnaire,MIS,Intérim - 18 Mois,Contrat travail,E,2 An(s),35H,Temps plein,0.0,0.0,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,0.0,62 - Évin-Malmaison,50.435769,3.03591,62141.0,62321.0,PARTNAIRE,0.0,Horaire de 11.65 Euros à 11.65 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=uoZx+EkzB2FPycYnysgwmA==,http://app.mytalentplug.com/description-offre.aspx?ojid=uoZx+EkzB2FPycYnysgwmA==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPN,,,,,,,,,,,,,,,,,,
179XXPM,Équipier polyvalent / Équipière polyvalente de restauration rapide,"Tu souhaites relever de nouveaux défis ? Alors rejoins-nous pour participer au développement d'une des premières enseignes guadeloupéenne de restauration rapide caribéenne.

Viens voir par ici, on a un CDD ou CDI  pour toi et plein de possibilités d'évolutions !

Tes missions :

RECEVOIR ET SUIVRE LES COMMANDES

- Respecter les règles d'hygiène et de sécurité alimentaire
- Participer à la gestion des livraisons et l'organisation des stocks
- Accueillir la clientèle
- Prise de commande, encaissement
- Préparation des commandes en cuisine
- Assemblage des commandes sur les plateaux, dans les sacs à emporter

MISE EN VALEUR DE L'OFFRE COMMERCIALE

- Assurer l'approvisionnement et l'organisation en vue des rushs
- Participer à la mise à jour et mise en place de la signalétique (affichage sécurité, publicité...)
- Assurer le respect des procédures mises en place (promotions, actions commerciales ponctuelles...)

CONSEILLER ET ACCOMPAGNER LE CLIENT

- Préparer l'ouverture du restaurant pour accueillir le client
- Orienter le client selon le canal de vente (drive, salle, vente à emporter, Click & Collect )
- Recevoir les réclamations clients

HYGIÈNE

- Plonge
- Nettoyer les cuisines, la salle de restauration et les toilettes
- Entretien du restaurant (table, sol, poubelles à vider...)
- Veiller à l'entretien du matériel de cuisine

Ceci est une liste non exhaustive des tâches que vous pourrez réaliser.

Notre candidat(e) idéal(e) :

- Aime travailler en équipe tout en respectant les consignes de sécurité et d'hygiène,
- S'adapte aux différentes activités avec bonne humeur et réactivité,
- Est doté(e) d'un sens commercial et d'un relationnel très développés,
- Est polyvalent(e) afin de pouvoir assurer les différents postes en cuisine, au comptoir, au drive ou en salle.
- Possède de préférence une expérience dans le domaine de la restauration",2024-08-25T02:47:47.310Z,2024-08-25T02:47:47.758Z,G1603,Équipier polyvalent / Équipière polyvalente de restauration rapide,Équipier(ère) polyvalent(e) de restauration rapide,CDI,CDI,Contrat travail,D,Débutant accepté,temps partiel,Temps partiel,0.0,0.0,5.0,Employé non qualifié,56.10C,56.0,Restauration de type rapide,0.0,971 - BAIE MAHAULT,16.245166,-61.594891,97122.0,97103.0,BOKIT'RY,0.0,Horaire de 11.65 Euros sur 0.0 mois,,,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPM,"[{'code': '124966', 'libelle': 'Types de sandwichs', 'exigence': 'S'}, {'code': '124919', 'libelle': 'Cuire des viandes, poissons ou légumes', 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '104227', 'libelle': 'Préparer, assembler des plats simples', 'exigence': 'S'}, {'code': '300090', 'libelle': 'Préparer des plats culinaires', 'exigence': 'S'}]","[{'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': 'Avoir le sens du service', 'description': 'Capacité à identifier (voire anticiper) les besoins des usagers, clients (internes et externes) et à apporter une réponse adaptée afin de les satisfaire.'}]",Restauration,,,,,,,,,,,,,,,
179XXPK,Ingénieur VRD - Aménagements urbains (H/F),"Aujourd'hui, nous recherchons pour notre client, reconnu dans son domaine, un(e) Ingénieur VRD - Aménagements urbains H/F pour intégrer ses équipes et accompagner son développement.

Vos missions :

-          Vous allez intervenir sur vos projets de A à Z  (MOE globale)

-          Vous pourrez donc intervenir sur toutes les phases (conception et réalisation)

-          Vous réalisez toutes les pièces phase études (dont conception, pièces graphiques, pièces écrites) et également sur le suivi des projets (suivi de chantier)

-           Vous travaillez en collaboration avec vos homologues

Vous allez travailler sur des projets VRD variés, notamment des aménagements urbains, voiries, infrastructures, parcs, etc. Nous serons sur des projets variés et intéressants, principalement orientés publics.

Mon client travaille avec des clients de longue date, qui sont attentifs à la responsabilité sociétale et environnementale des projets.

Votre profil ?

-          Issu(e) d'une formation bac+2 à bac +5, vous avez une expérience de minimum 1 an dans le domaine des VRD. Cette expérience peut être réalisée en BE MOE ou en Entreprise TP, ou encore en collectivité locale (MOA)

-          Vous avez travaillé sur des projets VRD publics et/ou privés

-          Vous avez des compétences sur Autocad, Covadis et/ou Mensura

-          Idéalement vous avez d'ores et déjà travaillé sur un poste 360° degrés (études/travaux) mais je reste ouverte à un profil 100% études ayant la volonté de s'orienter sur un poste plus global (mon client pourra vous accompagner en ce sens)

-          Vous accordez une importance aux bonnes relations avec vos homologues, et à travailler dans un environnement sain

-          Vous avez la volonté d'avoir une vision globale de vos projets (études/travaux)

Les plus ?

-         Rejoindre une structure orientée vers l'humain, avec un bel esprit d'équipe et une entraide entre les collaborateurs. Mais aussi, un fonctionnement en confiance, permettant de travailler dans environnement bienveillant, convivial, flexible et tourné vers l'entraide

-         Travailler sur des projets variés et stimulants, au sein d'une structure qui veille à porter attention à chacune des parties prenantes/composantes des projets (commerçants, séniors, environnement, etc). Mais aussi, à la page des nouvelles technologies et des nouvelles pratiques du domaine !

-         Des perspectives d'évolutions seront possibles

-         Un réel équilibre pro/perso sera présent sur le poste

Poste basé sur le secteur IDF.",2024-08-25T00:53:29.749Z,2024-08-25T00:53:30.147Z,F1111,Ingénieur / Ingénieure génie civil,Ingénieur / Ingénieure VRD,CDI,CDI,Contrat travail,E,1 An(s),37H,Temps plein,0.0,0.0,9.0,Cadre,70.22Z,70.0,Conseil pour les affaires et autres conseils de gestion,0.0,75 - Paris 14e Arrondissement,48.829706,2.322894,75014.0,75114.0,APPROACH PEOPLE RECRUITMENT,0.0,Annuel de 35000.0 Euros à 48000.0 Euros sur 12.0 mois,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPK",,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPK,,,Primes,Chèque repas,APPROACH PEOPLE RECRUITMENT - Mme Mylene Pinzetta,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPK",,,,,,,,,,,,
179XXPJ,Projeteur / Chargé d'études VRD - Aménagements urbains (H/F),"Aujourd'hui, nous recherchons pour notre client, reconnu dans son domaine, un(e) Projeteur / Chargé d'études VRD - Aménagements urbains H/F pour intégrer ses équipes et accompagner son développement.

Vos missions :
- Votre rôle principal sera de réaliser l'ensemble des études des projets (dont conception, pièces graphiques, pièces écrites) 
- Si vous le souhaitez, vous pourrez également intervenir sur le suivi des projets (suivi de chantier)
-  Vous travaillez en collaboration avec vos homologues (ingénieurs / chefs de projets VRD)
Vous allez travailler sur des projets VRD variés, notamment des aménagements urbains, voiries, infrastructures, parcs, etc. Nous serons sur des projets variés et intéressants, principalement orientés publics.
Mon client travaille avec des clients de longue date, qui sont attentifs à la responsabilité sociétale et environnementale des projets. 

Votre profil ?
- Issu(e) d'une formation bac+2 à bac +5, vous avez une expérience de minimum 2 ans dans le domaine des VRD. Cette expérience peut être réalisée en BE MOE ou en Entreprise TP, ou encore en collectivité locale (MOA). 
- Vous avez une expérience de projeteur ou chargé d'études sur des projets VRD publics et/ou privés 
- Vous avez des compétences sur Autocad, Covadis et/ou Mensura
- Vous accordez une importance aux bonnes relations avec vos homologues, et à travailler dans un environnement sain
- Vous avez la volonté d'avoir une vision globale de vos projets (études/travaux)

Les plus ?
- Rejoindre une structure orientée vers l'humain, avec un bel esprit d'équipe et une entraide entre les collaborateurs. Mais aussi, un fonctionnement en confiance, permettant de travailler dans environnement bienveillant, convivial, flexible et tourné vers l'entraide
- Travailler sur des projets variés et stimulants, au sein d'une structure qui veille à porter attention à chacune des parties prenantes/composantes des projets (commerçants, séniors, environnement, etc). Mais aussi, à la page des nouvelles technologies et des nouvelles pratiques du domaine !
- Des perspectives d'évolutions seront possibles
- Un réel équilibre pro/perso sera présent sur le poste

Poste basé sur le secteur IDF.",2024-08-25T00:50:53.137Z,2024-08-25T00:50:53.556Z,F1104,Dessinateur / Dessinatrice du BTP,Projeteur / Projeteuse Voirie Réseaux Divers (VRD),CDI,CDI,Contrat travail,E,2 An(s),37H,Temps plein,0.0,0.0,9.0,Cadre,70.22Z,70.0,Conseil pour les affaires et autres conseils de gestion,0.0,75 - Paris 14e Arrondissement,48.829706,2.322894,75014.0,75114.0,APPROACH PEOPLE RECRUITMENT,0.0,Mensuel de 35000.0 Euros à 48000.0 Euros sur 12.0 mois,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPJ",,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPJ,,,Primes,Chèque repas,APPROACH PEOPLE RECRUITMENT - Mme Mylene Pinzetta,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPJ",,,,,,,,,,,,
179XXPH,Vendeur / Vendeuse de fruits et légumes,"Reception des marchandises
 Veille à la conformité de la livraisMise en place des produits en rayon
Vérification du balisage et de l'étiquetage des produits en rayon
Gestion des stocks et des besoins en approvisionnement
Nettoyage et entretient de l'espace de vente et des produits en rayon",2024-08-25T00:28:01.172Z,2024-08-25T00:28:01.547Z,D1106,Épicier / Épicière,Vendeur / Vendeuse de fruits et légumes,CDI,CDI,Contrat travail,D,Débutant accepté,35H,Temps plein,0.0,0.0,5.0,Employé non qualifié,45.20A,45.0,Entretien et réparation de véhicules automobiles légers,0.0,93 - Bobigny,48.907365,2.443342,93000.0,93008.0,DES VOIRONS,0.0,,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPH",,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPH,"[{'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300375', 'libelle': 'Organiser, aménager un espace de vente', 'exigence': 'S'}, {'code': '300374', 'libelle': 'Présenter et valoriser un produit ou un service', 'exigence': 'S'}, {'code': '102903', 'libelle': 'Retirer des produits non conformes', 'exigence': 'S'}]",,Autre,,DES VOIRONS - M. - DELUCINGES,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPH","11,34",,,,,,,,,,,
179XXPG,Vendeur / Vendeuse de fruits et légumes,"Reception des marchandises
 Veille à la conformité de la livraisMise en place des produits en rayon
Vérification du balisage et de l'étiquetage des produits en rayon
Gestion des stocks et des besoins en approvisionnement
Nettoyage et entretient de l'espace de vente et des produits en rayon",2024-08-25T00:27:06.095Z,2024-08-25T00:27:06.439Z,D1106,Épicier / Épicière,Vendeur / Vendeuse de fruits et légumes,CDI,CDI,Contrat travail,D,Débutant accepté,35H,Temps plein,0.0,0.0,5.0,Employé non qualifié,45.20A,45.0,Entretien et réparation de véhicules automobiles légers,0.0,77 - Meaux,48.959287,2.902726,77100.0,77284.0,DES VOIRONS,0.0,,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPG",,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPG,"[{'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300375', 'libelle': 'Organiser, aménager un espace de vente', 'exigence': 'S'}, {'code': '300374', 'libelle': 'Présenter et valoriser un produit ou un service', 'exigence': 'S'}, {'code': '102903', 'libelle': 'Retirer des produits non conformes', 'exigence': 'S'}]",,Autre,,DES VOIRONS - M. - DELUCINGES,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPG","11,34",,,,,,,,,,,
179XXPF,Vendeur / Vendeuse de fruits et légumes,"Reception des marchandises
 Veille à la conformité de la livraisMise en place des produits en rayon
Vérification du balisage et de l'étiquetage des produits en rayon
Gestion des stocks et des besoins en approvisionnement
Nettoyage et entretient de l'espace de vente et des produits en rayon",2024-08-25T00:26:03.694Z,2024-08-25T00:26:04.007Z,D1106,Épicier / Épicière,Vendeur / Vendeuse de fruits et légumes,CDI,CDI,Contrat travail,D,Débutant accepté,35H,Temps plein,0.0,0.0,5.0,Employé non qualifié,45.20A,45.0,Entretien et réparation de véhicules automobiles légers,0.0,94 - Maisons-Alfort,48.801685,2.440318,94700.0,94046.0,DES VOIRONS,0.0,,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPF",,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPF,"[{'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300375', 'libelle': 'Organiser, aménager un espace de vente', 'exigence': 'S'}, {'code': '300374', 'libelle': 'Présenter et valoriser un produit ou un service', 'exigence': 'S'}, {'code': '102903', 'libelle': 'Retirer des produits non conformes', 'exigence': 'S'}]",,Autre,,DES VOIRONS - M. - DELUCINGES,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/179XXPF","11,34",,,,,,,,,,,
179XXPD,Opérateur de production (H/F),"PARTNAIRE LES HERBIERS accompagne une entreprise spécialisée dans la conception de solutions et produits verriers intelligents pour le bien-être, le confort et la sécurité de tous. Présent en amont comme en aval de la filière de production, ils fabriquent et transforment chaque année 100.000 tonnes de verre plat et propose à ses clients une large gamme de produits verriers à haute valeur ajoutée : du verre design ou technique de haute sécurité au vitrage isolant à hautes performances énergétiques et environnementales, à destination des secteurs du bâtiment, du transport et d'autres industries.

En tant qu'Agent de production - coupeur, vous réaliserez les coupes afin d'approvisionner en verres la ligne d'assemblage DV, le façonnage ou le service expédition.
Contrat à pourvoir en intérim dans un premier temps. 

- Assurer l'entretien et la programmation de la machine ;
- Nettoyer la machine ;
- Conduire manuellement ou de façon automatique les machines FLOAT, FEUILLETE, MIXTE ;
- Vérifier la coupe et l'application des instructions de contrôle ;
- Assurer le rangement des verres conformément aux instructions de travail ;
- Assurer le repérage des lots de production sur les agrès d'atelier ;
- Appliquer les consignes de sécurité.

Vous travaillez en horaire décalés du Lundi au Jeudi - 5h-13h/13h-21h et le Vendredi 7h-12h-12h/19h Vous avez idéalement acquis une première expérience sur un poste similaire qui vous a permis de développer des connaissances sur les différents équipements de production, une maitrise des gestes techniques et une rigueur dans l'exécution ;
Vous faites preuve d'une aptitude à vous conformer aux objectifs de la production ;
Vous disposez de capacités pour travailler en équipe et communiquer ;       
Vous êtes rigoureux(se), organisé(e) ;
Vous êtes doté(e) d'une adaptabilité et d'une capacité d'écoute et d'analyse.

Taux horaire 11.78EUR/heure + primes d'équipe et panier


Mes avantages :

- Une mutuelle santé / une prévoyance
- Un CET, compte épargne temps qui rémunère votre épargne à 5%
- Des indemnités de fin de mission à hauteur de 10%
- Des chèques cadeaux parrainage jusqu'à 100 euros
- Un comité d'entreprise dès le premier mois de mission",2024-08-25T00:25:18.395Z,2024-08-25T00:25:18.627Z,H2801,Agent / Agente de fabrication du verre,Opérateur(trice) feeder en prod/transformation du verre,MIS,Intérim - 10 Mois,Contrat travail,D,Débutant accepté,35H,Temps plein,0.0,0.0,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,0.0,85 - Herbiers,46.863236,-1.028639,85500.0,85109.0,PARTNAIRE,0.0,Horaire de 11.65 Euros à 12.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=DyCVPCTHQ7Si4p7sN4AZfA==,http://app.mytalentplug.com/description-offre.aspx?ojid=DyCVPCTHQ7Si4p7sN4AZfA==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPD,,,,,,,,,,,,,,,,,,
179XXPC,Technicien de maintenance (H/F),"Partnaire Châteaudun, recherche pour son client basé à Morée fabricants de structures métallique et constructeurs de solutions photovoltaïques , un TECHNICIEN DE MAINTENANCE (H/F) qui aura en charge le maintien du parc machine et sera un véritable support de la production pour le bon fonctionnement des machines.

Vos principales missions liées au poste pour relever le défi seront les suivantes :

* Réaliser la maintenance préventive et curative des machines sur site
* Rechercher les pannes sur les machines
* Etre force de proposition d'amélioration
* Rédiger des procédures avec la production
* Liste non exhaustive Une expérience sur un poste similaire serait souhaité.
Des connaissances e électrique, mécanique, pneumatique et hydraulique sont demandées

Des qualités telles que la rigueur, l'autonomie, la réactivité et esprit d'équipe sont attendues.

Les profils atypiques sont les bienvenus !

SALAIRE : A DEFINIR SELON PROFIL 

Tickets restaurant, participation, mutuelle, prévoyance et le CSE.",2024-08-25T00:25:14.217Z,2024-08-25T00:25:14.437Z,H2503,Responsable d'îlot de production,Technicien(ne) pilotage et maintenance système de prod,CDI,CDI,Contrat travail,E,1 An(s),35H,Temps plein,0.0,0.0,6.0,Employé qualifié,78.20Z,78.0,Activités des agences de travail temporaire,0.0,41 - Morée,47.906409,1.251639,41160.0,41154.0,PARTNAIRE,0.0,Horaire de 12.0 Euros à 13.0 Euros sur 12.0 mois,http://app.mytalentplug.com/description-offre.aspx?ojid=dcF0FjA/4xmbpNIJALPbpQ==,http://app.mytalentplug.com/description-offre.aspx?ojid=dcF0FjA/4xmbpNIJALPbpQ==,1.0,https://candidat.francetravail.fr/offres/recherche/detail/179XXPC,,,,,,,,,,,,,,,,,,
